aɪ	aɪd	V;PST	eye	eyed
aɪ	aɪd	V;V.PTCP;PST	eye	eyed
aɪ	aɪɪŋ	V;V.PTCP;PRS	eye	eyeing
aɪ	aɪz	V;3;SG;PRS	eye	eyes
aɪ	aɪ	V;NFIN	eye	eye
aɪ	aɪɪŋ	V;V.PTCP;PRS	eye	eying
aɪbɔl	aɪbɔːld	V;PST	eyeball	eyeballed
aɪbɔl	aɪbɔːld	V;V.PTCP;PST	eyeball	eyeballed
aɪbɔl	aɪbɔːlɪŋ	V;V.PTCP;PRS	eyeball	eyeballing
aɪbɔl	aɪbɔːlz	V;3;SG;PRS	eyeball	eyeballs
aɪbɔl	aɪbɔl	V;NFIN	eyeball	eyeball
aɪdɛntɪfaɪ	ɪdɛntɪfaɪd	V;PST	identify	identified
aɪdɛntɪfaɪ	ɪdɛntɪfaɪd	V;V.PTCP;PST	identify	identified
aɪdɛntɪfaɪ	aɪdɛntɪfaɪz	V;3;SG;PRS	identify	identifies
aɪdɛntɪfaɪ	aɪdɛntɪfaɪɪŋ	V;V.PTCP;PRS	identify	identifying
aɪdɛntɪfaɪ	aɪdɛntɪfaɪ	V;NFIN	identify	identify
aɪlənd	aɪləndɪd	V;PST	island	islanded
aɪlənd	aɪləndɪd	V;V.PTCP;PST	island	islanded
aɪlənd	aɪləndɪŋ	V;V.PTCP;PRS	island	islanding
aɪlənd	aɪləndz	V;3;SG;PRS	island	islands
aɪlənd	aɪlənd	V;NFIN	island	island
aɪs	aɪst	V;PST	ice	iced
aɪs	aɪst	V;V.PTCP;PST	ice	iced
aɪs	aɪsɪz	V;3;SG;PRS	ice	ices
aɪs	aɪs	V;NFIN	ice	ice
aɪs	aɪsɪŋ	V;V.PTCP;PRS	ice	icing
aɪsəleɪt	aɪsəleɪtɪd	V;PST	isolate	isolated
aɪsəleɪt	aɪsəleɪtɪd	V;V.PTCP;PST	isolate	isolated
aɪsəleɪt	aɪsəleɪts	V;3;SG;PRS	isolate	isolates
aɪsəleɪt	aɪsəleɪt	V;NFIN	isolate	isolate
aɪsəleɪt	aɪsəleɪtɪŋ	V;V.PTCP;PRS	isolate	isolating
aɪsətoʊp	aɪsətoʊpt	V;PST	isotope	isotoped
